age,gender,province,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,churn
19,,Sudurpashchim,Kailali,Prepaid,3330,686,3,0.39,0.51,21,500,3,-78,0.58,50,0,0,1,1,0,0,0,0,15,0
24,,Bagmati,Lalitpur,Prepaid,3330,596,2,7.1,9.34,21,200,3,-70,0.0,50,0,0,0,4,1,0,0,0,15,0
44,,Sudurpashchim,Kanchanpur,Prepaid,1500,707,5,32.69,43.01,27,200,1,-74,0.28,50,0,0,1,0,0,0,0,0,25,0
31,,Bagmati,Kavre,Prepaid,2250,482,4,13.82,18.18,27,200,1,-76,0.62,50,0,0,0,0,0,0,0,0,25,0
31,,Bagmati,Kavre,Prepaid,2460,680,3,14.61,19.22,27,100,1,-76,0.44,45,1,24,0,4,1,0,0,0,25,0
47,,Sudurpashchim,Kanchanpur,Prepaid,450,718,5,39.04,51.37,21,500,3,-76,0.42,50,0,0,0,3,0,0,0,0,15,0
70,,Karnali,Salyan,Prepaid,660,754,8,3.75,4.93,27,500,1,-76,0.4,50,0,0,0,0,0,0,0,0,25,0
46,,Gandaki,Syangja,Prepaid,3360,487,4,0.16,0.21,27,50,1,-80,1.02,50,0,0,0,2,0,0,0,0,25,1
69,,Koshi,Morang,Prepaid,1770,745,5,4.36,5.74,24,50,2,-76,0.4,50,0,0,1,0,0,0,0,0,20,1
23,,Bagmati,Lalitpur,Prepaid,2880,452,8,11.41,15.01,24,200,2,-74,0.44,50,0,0,1,2,1,0,0,0,20,0
30,,Madhesh,Parsa,Prepaid,2850,586,7,11.43,15.04,24,500,2,-76,0.51,50,0,0,0,4,0,0,0,0,20,0
46,,Gandaki,Tanahu,Prepaid,2340,521,2,4.63,6.09,18,500,4,-78,0.77,50,0,0,0,0,0,0,0,0,10,0
20,,Bagmati,Bhaktapur,Prepaid,2640,699,6,0.04,0.05,27,100,1,-82,0.86,50,0,0,0,0,1,0,0,0,25,0
31,,Bagmati,Bhaktapur,Prepaid,1950,795,3,22.04,29.0,27,100,1,-70,0.0,50,0,0,1,3,0,0,0,0,25,0
45,,Madhesh,Bara,Prepaid,3060,737,3,9.27,12.2,24,50,2,-72,0.14,50,0,0,1,3,0,0,0,0,20,0
50,,Bagmati,Chitwan,Prepaid,2250,667,4,0.2,0.26,18,100,4,-74,0.3,40,2,24,0,4,1,0,0,0,10,0
25,,Bagmati,Chitwan,Prepaid,120,612,2,6.57,8.64,21,50,3,-76,0.49,50,0,0,0,3,1,0,0,0,15,0
50,,Madhesh,Parsa,Prepaid,1740,730,6,1.9,2.5,24,50,2,-76,0.41,50,0,0,0,0,0,0,0,0,20,0
25,,Bagmati,Kathmandu,Prepaid,1950,688,3,25.8,33.95,21,200,3,-84,1.02,50,0,0,0,4,0,0,0,0,15,0
65,,Bagmati,Kavre,Prepaid,3030,710,7,0.06,0.08,27,100,1,-70,0.0,50,0,0,1,3,0,0,0,0,25,0
38,,Koshi,Jhapa,Prepaid,2280,638,5,20.86,27.45,27,500,1,-76,0.47,45,1,24,1,1,0,0,0,0,25,0
51,,Bagmati,Kavre,Prepaid,450,787,4,3.57,4.7,21,500,3,-78,0.51,50,0,0,1,1,0,0,0,0,15,0
66,,Madhesh,Parsa,Prepaid,3000,776,5,6.23,8.2,27,500,1,-76,0.39,50,0,0,1,2,0,0,0,0,25,0
56,,Lumbini,Banke,Prepaid,3270,584,5,5.8,7.63,21,200,3,-80,0.85,50,0,0,0,3,0,0,0,0,15,0
43,,Gandaki,Tanahu,Prepaid,1200,842,7,20.14,26.5,21,500,3,-76,0.36,50,0,0,0,4,1,0,0,0,15,0
22,,Lumbini,Banke,Prepaid,3330,689,1,7.5,9.87,24,500,2,-76,0.43,50,0,0,0,0,0,0,0,0,20,0
69,,Madhesh,Dhanusha,Postpaid,3120,646,3,75.0,98.68,27,1000,1,-72,0.15,50,0,0,0,2,0,0,0,0,25,0
66,,Bagmati,Lalitpur,Prepaid,3420,605,1,7.05,9.28,18,100,4,-82,0.99,40,2,24,1,2,0,0,0,0,10,1
35,,Gandaki,Syangja,Prepaid,1500,586,3,19.72,25.95,24,100,2,-84,1.19,50,0,0,1,4,1,0,0,0,20,0
27,,Bagmati,Kathmandu,Postpaid,690,575,1,13.72,18.05,27,1000,1,-78,0.69,50,0,0,1,4,0,0,0,0,25,0
70,,Koshi,Sunsari,Prepaid,330,675,8,11.23,14.78,21,500,3,-80,0.74,50,0,0,0,4,0,0,0,0,15,0
65,,Sudurpashchim,Kailali,Prepaid,90,770,2,7.47,9.83,27,500,1,-78,0.52,50,0,0,0,3,0,0,0,0,25,0
33,,Koshi,Jhapa,Prepaid,1200,510,5,20.38,26.82,21,50,3,-82,1.17,50,0,0,0,0,0,0,0,0,15,0
47,,Bagmati,Kathmandu,Prepaid,240,768,6,15.35,20.2,18,50,4,-70,0.0,50,0,0,0,1,0,0,0,0,10,1
38,,Gandaki,Kaski,Prepaid,120,524,2,1.93,2.54,18,200,4,-72,0.19,45,1,24,0,1,0,0,0,0,10,1
59,,Madhesh,Dhanusha,Prepaid,2970,567,3,4.61,6.07,18,100,4,-74,0.35,50,0,0,0,4,0,0,0,0,10,0
49,,Gandaki,Tanahu,Prepaid,570,804,4,3.44,4.53,18,200,4,-78,0.5,50,0,0,0,1,1,0,0,0,10,0
47,,Karnali,Surkhet,Prepaid,1770,540,4,12.58,16.55,18,200,4,-74,0.37,50,0,0,0,2,1,0,0,0,10,0
24,,Madhesh,Bara,Prepaid,780,697,9,5.92,7.79,18,500,4,-76,0.43,45,1,24,0,4,1,0,0,0,10,0
58,,Bagmati,Chitwan,Prepaid,60,826,6,13.83,18.2,18,50,4,-78,0.48,50,0,0,1,0,1,0,0,0,10,0
71,,Lumbini,Kapilvastu,Prepaid,690,537,6,3.52,4.63,27,200,1,-76,0.56,50,0,0,0,2,0,0,0,0,25,0
