customer_id,age,gender,province,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,churn
NP-CUST-00001,19,Male,Sudurpashchim,Kailali,Prepaid,3330,686,3,0.39,0.51,21,500,3,-78,0.58,50,0,0,1,1,0,0,0,0,15,0
NP-CUST-00002,24,Female,Bagmati,Lalitpur,Prepaid,3330,596,2,7.1,9.34,21,200,3,-70,0.0,50,0,0,0,4,1,0,0,0,15,0
NP-CUST-00003,44,Female,Sudurpashchim,Kanchanpur,Prepaid,1500,707,5,32.69,43.01,27,200,1,-74,0.28,50,0,0,1,0,0,0,0,0,25,0
NP-CUST-00004,31,Female,Bagmati,Kavre,Prepaid,2250,482,4,13.82,18.18,27,200,1,-76,0.62,50,0,0,0,0,0,0,0,0,25,0
NP-CUST-00005,31,Male,Bagmati,Kavre,Prepaid,2460,680,3,14.61,19.22,27,100,1,-76,0.44,45,1,24,0,4,1,0,0,0,25,0
NP-CUST-00006,47,Male,Sudurpashchim,Kanchanpur,Prepaid,450,718,5,39.04,51.37,21,500,3,-76,0.42,50,0,0,0,3,0,0,0,0,15,0
NP-CUST-00007,70,Male,Karnali,Salyan,Prepaid,660,754,8,3.75,4.93,27,500,1,-76,0.4,50,0,0,0,0,0,0,0,0,25,0
NP-CUST-00008,46,Female,Gandaki,Syangja,Prepaid,3360,487,4,0.16,0.21,27,50,1,-80,1.02,50,0,0,0,2,0,0,0,0,25,1
NP-CUST-00009,69,Female,Koshi,Morang,Prepaid,1770,745,5,4.36,5.74,24,50,2,-76,0.4,50,0,0,1,0,0,0,0,0,20,1
NP-CUST-00010,23,Female,Bagmati,Lalitpur,Prepaid,2880,452,8,11.41,15.01,24,200,2,-74,0.44,50,0,0,1,2,1,0,0,0,20,0
NP-CUST-00011,30,Male,Madhesh,Parsa,Prepaid,2850,586,7,11.43,15.04,24,500,2,-76,0.51,50,0,0,0,4,0,0,0,0,20,0
NP-CUST-00012,46,Female,Gandaki,Tanahu,Prepaid,2340,521,2,4.63,6.09,18,500,4,-78,0.77,50,0,0,0,0,0,0,0,0,10,0
NP-CUST-00013,20,Female,Bagmati,Bhaktapur,Prepaid,2640,699,6,0.04,0.05,27,100,1,-82,0.86,50,0,0,0,0,1,0,0,0,25,0
NP-CUST-00014,31,Male,Bagmati,Bhaktapur,Prepaid,1950,795,3,22.04,29.0,27,100,1,-70,0.0,50,0,0,1,3,0,0,0,0,25,0
NP-CUST-00015,45,Male,Madhesh,Bara,Prepaid,3060,737,3,9.27,12.2,24,50,2,-72,0.14,50,0,0,1,3,0,0,0,0,20,0
NP-CUST-00016,50,Male,Bagmati,Chitwan,Prepaid,2250,667,4,0.2,0.26,18,100,4,-74,0.3,40,2,24,0,4,1,0,0,0,10,0
NP-CUST-00017,25,Male,Bagmati,Chitwan,Prepaid,120,612,2,6.57,8.64,21,50,3,-76,0.49,50,0,0,0,3,1,0,0,0,15,0
NP-CUST-00018,50,Female,Madhesh,Parsa,Prepaid,1740,730,6,1.9,2.5,24,50,2,-76,0.41,50,0,0,0,0,0,0,0,0,20,0
NP-CUST-00019,25,Male,Bagmati,Kathmandu,Prepaid,1950,688,3,25.8,33.95,21,200,3,-84,1.02,50,0,0,0,4,0,0,0,0,15,0
NP-CUST-00020,65,Male,Bagmati,Kavre,Prepaid,3030,710,7,0.06,0.08,27,100,1,-70,0.0,50,0,0,1,3,0,0,0,0,25,0
NP-CUST-00021,38,Female,Koshi,Jhapa,Prepaid,2280,638,5,20.86,27.45,27,500,1,-76,0.47,45,1,24,1,1,0,0,0,0,25,0
NP-CUST-00022,51,Male,Bagmati,Kavre,Prepaid,450,787,4,3.57,4.7,21,500,3,-78,0.51,50,0,0,1,1,0,0,0,0,15,0
NP-CUST-00023,66,Male,Madhesh,Parsa,Prepaid,3000,776,5,6.23,8.2,27,500,1,-76,0.39,50,0,0,1,2,0,0,0,0,25,0
