customer_id,age,gender,province,district,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,monthly_bill_npr,recharge_segment
DEMO-0001,34,Female,Lumbini,Dang,Semi-Urban,Prepaid,90,118,5,3.88,29.7,4,200,3,-75,3.47,18.1,2,22,1,0,0,0,-5.6,9.9,5,0,Medium
DEMO-0002,41,Female,Lumbini,Kapilvastu,Rural,Prepaid,150,249,3,0.61,23.6,6,300,10,-73,4.51,1.3,2,22,1,1,1,0,3.4,4.9,1,0,Medium
DEMO-0003,30,Male,Bagmati,Bhaktapur,Urban,Prepaid,540,316,3,22.47,32.4,3,1000,10,-76,1.89,6.8,0,0,0,0,0,0,6.5,-5.1,3,0,High
DEMO-0004,22,Female,Bagmati,Bhaktapur,Urban,Prepaid,270,79,4,5.19,19.8,3,100,8,-70,1.82,23.4,1,21,1,1,0,0,4.9,-5.6,1,0,Low
DEMO-0005,31,Female,Bagmati,Bhaktapur,Urban,Prepaid,810,90,7,5.68,28.8,1,100,4,-72,0.82,21.8,1,41,1,1,0,0,-24.2,-20.7,7,0,Low
DEMO-0006,23,Female,Lumbini,Banke,Urban,Prepaid,60,11,5,10.15,35.9,32,10,5,-78,3.0,15.5,1,23,0,1,1,0,18.9,12.7,0,0,Low
DEMO-0007,38,Male,Gandaki,Kaski,Urban,Prepaid,150,99,11,17.59,25.0,1,300,7,-67,1.52,11.9,0,0,1,0,1,0,11.3,21.4,1,0,Medium
DEMO-0008,43,Male,Lumbini,Dang,Semi-Urban,Prepaid,150,94,6,6.42,11.8,18,150,9,-63,0.57,19.4,0,0,1,0,0,0,25.4,-14.4,1,0,Medium
DEMO-0009,23,Male,Gandaki,Syangja,Semi-Urban,Prepaid,120,101,5,2.1,25.3,2,100,9,-110,6.4,2.6,2,28,1,1,0,1,1.5,12.9,4,0,Low
DEMO-0010,36,Female,Lumbini,Rupandehi,Urban,Prepaid,450,213,7,13.31,1.7,3,200,6,-70,2.18,17.0,0,0,0,1,0,0,-4.2,-13.3,4,0,Medium
DEMO-0011,18,Male,Lumbini,Banke,Urban,Postpaid,120,900,5,20.81,21.7,0,0,0,-84,5.01,23.4,1,18,1,1,0,0,-11.2,14.4,4,1500,Postpaid
DEMO-0012,38,Male,Sudurpashchim,Bajhang,Rural,Prepaid,990,350,8,2.32,28.4,10,300,7,-101,6.58,0.9,3,41,1,1,0,0,-21.5,21.3,9,0,Medium
DEMO-0013,39,Male,Madhesh,Mahottari,Semi-Urban,Prepaid,390,103,8,0.9,24.3,1,150,7,-89,4.72,9.1,1,27,1,0,0,0,-14.4,-10.9,6,0,Medium
DEMO-0014,47,Female,Koshi,Morang,Urban,Prepaid,2700,31,4,2.77,26.8,1,30,7,-69,0.1,17.7,0,0,1,0,0,0,-7.0,-14.2,4,0,Low
DEMO-0015,38,Male,Madhesh,Parsa,Semi-Urban,Prepaid,150,62,7,4.5,29.7,10,100,3,-70,0.1,8.7,0,0,1,0,0,0,9.8,17.2,1,0,Low
DEMO-0016,21,Female,Koshi,Taplejung,Rural,Prepaid,990,187,2,2.65,20.0,4,200,4,-104,6.91,6.2,1,22,1,1,0,0,1.3,-2.5,6,0,Medium
DEMO-0017,18,Male,Bagmati,Lalitpur,Urban,Prepaid,810,47,5,14.3,26.0,29,100,9,-60,0.69,9.3,1,13,1,0,1,0,-21.9,-17.3,5,0,Low
DEMO-0018,39,Female,Bagmati,Bhaktapur,Urban,Prepaid,150,141,4,9.27,37.5,0,100,9,-68,0.72,20.8,0,0,1,1,0,0,13.5,1.6,0,0,Low
DEMO-0019,45,Male,Lumbini,Rupandehi,Urban,Prepaid,180,121,11,0.41,6.3,6,150,4,-60,1.5,25.2,0,0,1,1,0,0,3.4,-7.8,3,0,Medium
DEMO-0020,38,Male,Lumbini,Palpa,Semi-Urban,Prepaid,60,223,3,3.03,14.2,1,300,7,-89,5.88,12.5,0,0,0,1,0,0,-24.7,-1.9,9,0,Medium
DEMO-0021,19,Female,Bagmati,Chitwan,Urban,Prepaid,390,294,4,13.42,25.2,6,200,7,-83,3.99,19.0,2,29,1,1,0,0,7.3,8.5,4,0,Medium
DEMO-0022,44,Male,Madhesh,Mahottari,Semi-Urban,Prepaid,120,71,6,0.32,0.0,9,150,11,-93,7.21,32.6,2,30,1,0,0,0,-1.9,3.5,8,0,Medium
