customer_id,age,gender,province,district,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,monthly_bill_npr,recharge_segment,churn
NP-CUST-00001,34,Female,Lumbini,Dang,Semi-Urban,Prepaid,90,118,5,3.88,29.7,4,200,3,-75,3.47,18.1,2,22,1,0,0,0,-5.6,9.9,5,0,Medium,0
NP-CUST-00002,18,Female,Bagmati,Bhaktapur,Urban,Prepaid,120,54,5,2.16,10.8,0,100,7,-50,0.1,19.5,0,0,1,0,0,0,4.3,-2.6,3,0,Low,0
NP-CUST-00003,23,Male,Karnali,Humla,Rural,Prepaid,330,202,6,1.52,16.2,6,300,4,-92,6.11,11.4,3,22,1,1,0,0,7.1,-20.0,5,0,Medium,1
NP-CUST-00004,34,Female,Lumbini,Rupandehi,Urban,Prepaid,1110,160,5,11.34,31.2,5,200,5,-70,2.73,19.5,2,18,1,1,1,0,19.9,-11.7,2,0,Medium,0
NP-CUST-00005,18,Male,Koshi,Sunsari,Urban,Prepaid,1620,18,7,6.9,30.9,8,30,7,-63,0.1,12.1,0,0,1,0,1,0,-14.0,16.6,7,0,Low,0
NP-CUST-00006,44,Male,Sudurpashchim,Kanchanpur,Urban,Postpaid,210,500,10,10.86,20.4,0,0,0,-56,0.1,18.5,1,35,1,0,0,0,-30.7,-1.1,7,1000,Postpaid,0
NP-CUST-00007,37,Male,Lumbini,Kapilvastu,Rural,Prepaid,990,550,11,0.71,16.0,7,500,3,-101,5.82,1.8,0,0,1,1,1,0,13.0,-15.2,3,0,High,0
NP-CUST-00008,23,Female,Lumbini,Palpa,Semi-Urban,Prepaid,1500,137,7,0.77,29.8,1,200,4,-89,2.39,4.4,1,0,0,1,0,0,-16.9,-6.2,6,0,Medium,0
NP-CUST-00009,18,Male,Koshi,Ilam,Semi-Urban,Prepaid,180,211,3,1.94,37.4,1,200,9,-89,4.1,7.2,3,18,1,1,1,0,10.0,1.2,3,0,Medium,0
NP-CUST-00010,25,Male,Bagmati,Chitwan,Urban,Prepaid,2880,64,1,6.82,42.9,5,50,8,-82,2.8,13.6,0,0,0,1,0,0,3.2,0.1,4,0,Low,0
NP-CUST-00011,23,Male,Bagmati,Dolakha,Rural,Prepaid,1170,199,7,3.26,43.5,4,150,4,-94,6.21,9.2,1,28,1,1,0,0,24.1,-9.7,4,0,Medium,0
NP-CUST-00012,20,Male,Sudurpashchim,Kanchanpur,Urban,Prepaid,210,104,3,13.56,36.8,7,100,5,-78,2.66,14.8,1,33,1,1,0,0,4.5,-15.9,2,0,Low,0
NP-CUST-00013,18,Male,Gandaki,Manang,Rural,Prepaid,750,396,6,5.55,19.9,1,300,7,-94,6.1,1.6,1,22,1,1,0,0,10.1,32.4,4,0,Medium,0
NP-CUST-00014,30,Male,Lumbini,Dang,Semi-Urban,Prepaid,390,150,4,2.77,19.5,9,200,5,-51,0.1,8.1,1,6,0,1,0,0,-5.1,-19.1,1,0,Medium,0
NP-CUST-00015,39,Female,Bagmati,Lalitpur,Urban,Prepaid,90,251,6,4.04,29.9,0,200,6,-62,0.1,19.4,1,14,1,1,0,0,-7.4,9.8,4,0,Medium,0
NP-CUST-00016,25,Male,Madhesh,Mahottari,Semi-Urban,Prepaid,240,86,4,3.57,32.3,5,100,5,-89,3.59,8.7,0,0,1,1,0,0,0.2,13.8,1,0,Low,0
NP-CUST-00017,36,Male,Bagmati,Kavre,Semi-Urban,Postpaid,30,681,7,2.87,12.5,0,0,0,-89,5.08,3.6,0,0,1,1,0,0,11.8,17.9,2,800,Postpaid,0
NP-CUST-00018,29,Female,Koshi,Jhapa,Urban,Prepaid,630,54,3,2.32,17.3,6,50,3,-62,0.1,36.0,1,16,0,1,0,0,1.7,2.0,1,0,Low,0
