customer_id,age,gender,province,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,churn
NP-00001,56,Male,Lumbini,Urban,Prepaid,189,143.1,44,3.63,59.65,3,99.0,2,-97,0.0462,2.92,2,41.9,1,1,0,0,0.185,0.28,0,0
NP-00002,69,Female,Gandaki,Urban,Postpaid,649,475.0,48,11.44,12.72,7,197.0,2,-105,0.05,7.42,0,0.0,1,1,1,1,0.404,-0.176,8,0
NP-00003,46,Female,Madhesh,Rural,Prepaid,99,269.0,48,16.42,27.05,17,102.0,2,-63,0.051,13.13,0,0.0,1,1,1,0,0.155,0.154,3,0
NP-00004,32,Female,Bagmati,Semi-Urban,Prepaid,962,194.3,38,4.69,61.68,28,213.0,2,-71,0.0267,9.96,0,0.0,1,0,1,0,0.347,0.0,0,0
NP-00005,60,Female,Lumbini,Semi-Urban,Prepaid,742,101.4,60,2.86,47.92,15,85.0,3,-77,0.0246,11.2,0,0.0,1,1,0,0,0.117,-0.014,1,0
NP-00006,25,Female,Madhesh,Rural,Prepaid,1254,86.5,39,20.03,18.19,4,501.0,2,-105,0.0501,3.78,6,41.1,0,0,0,0,0.383,0.202,2,0
NP-00007,38,Female,Sudurpashchim,Urban,Prepaid,1052,194.6,52,26.36,43.48,1,96.0,5,-105,0.0714,2.52,0,0.0,1,1,0,0,0.484,0.478,0,0
NP-00008,56,Male,Madhesh,Urban,Prepaid,1075,362.9,48,13.88,34.47,8,109.0,3,-61,0.0192,19.94,0,0.0,1,0,0,0,-0.308,0.134,1,0
NP-00009,75,Male,Lumbini,Urban,Prepaid,1065,590.5,52,4.97,19.9,5,214.0,4,-54,0.0076,10.06,0,0.0,1,1,1,0,0.657,0.082,8,1
NP-00010,36,Female,Gandaki,Semi-Urban,Prepaid,1702,45.4,30,7.99,42.06,9,62.0,3,-111,0.0496,6.46,0,0.0,1,1,1,0,0.206,0.172,2,0
NP-00011,40,Female,Lumbini,Semi-Urban,Prepaid,1614,933.8,53,3.46,7.49,6,105.0,4,-92,0.0522,8.0,0,0.0,1,0,0,0,0.532,0.257,16,1
NP-00012,28,Male,Bagmati,Urban,Prepaid,84,322.3,50,20.57,55.92,5,1003.0,4,-53,0.0047,34.56,0,0.0,1,1,1,0,0.397,0.225,1,0
NP-00013,28,Female,Sudurpashchim,Urban,Prepaid,168,271.4,55,10.75,94.62,29,485.0,2,-66,0.0557,18.09,0,0.0,1,0,0,0,0.197,0.374,3,0
NP-00014,41,Female,Gandaki,Urban,Prepaid,1476,48.5,48,12.93,25.48,13,88.0,2,-82,0.0409,20.89,0,0.0,0,0,1,0,0.029,0.274,4,0
NP-00015,70,Male,Madhesh,Semi-Urban,Prepaid,779,110.1,56,10.01,32.09,13,211.0,3,-54,0.0109,24.84,0,0.0,1,1,0,0,0.211,0.409,2,0
NP-00016,53,Other,Gandaki,Urban,Postpaid,285,217.1,57,9.05,38.1,1,203.0,2,-64,0.0172,40.19,0,0.0,0,0,1,0,0.713,0.287,12,0
NP-00017,57,Female,Madhesh,Urban,Prepaid,555,58.2,50,10.67,35.93,5,105.0,3,-107,0.0732,2.48,3,26.9,0,0,0,0,-0.191,-0.264,0,1
NP-00018,41,Male,Madhesh,Urban,Prepaid,1112,152.2,45,9.02,41.55,17,110.0,2,-115,0.1035,11.89,2,16.3,0,1,0,0,0.675,0.312,15,1
NP-00019,20,Female,Bagmati,Semi-Urban,Prepaid,585,336.4,48,22.96,53.53,10,1508.0,1,-115,0.0647,3.07,0,0.0,0,1,0,0,0.172,0.174,4,0
NP-00020,39,Male,Lumbini,Semi-Urban,Prepaid,1793,126.8,42,2.94,35.39,7,91.0,1,-69,0.0201,6.8,0,0.0,1,0,0,0,-0.5,0.329,0,0
NP-00021,70,Female,Bagmati,Urban,Prepaid,163,338.7,46,4.51,52.84,43,995.0,2,-106,0.0467,3.08,0,0.0,1,1,0,0,-0.181,0.037,6,0
NP-00022,19,Male,Gandaki,Semi-Urban,Prepaid,1544,233.8,47,6.75,2.89,1,105.0,2,-51,0.0039,12.69,0,0.0,1,1,0,0,-0.098,0.418,1,0
NP-00023,41,Male,Bagmati,Semi-Urban,Prepaid,24,210.1,43,7.78,7.93,2,110.0,2,-93,0.045,11.39,0,0.0,0,1,0,0,-0.044,0.317,2,0
NP-00024,61,Female,Madhesh,Rural,Prepaid,658,103.7,58,20.12,17.61,9,100.0,1,-79,0.0333,25.94,0,0.0,1,0,1,0,0.168,0.266,3,1
NP-00025,47,Female,Sudurpashchim,Urban,Prepaid,1540,166.9,51,3.03,15.78,6,98.0,5,-51,0.0029,5.18,0,0.0,0,0,0,0,0.191,0.191,2,0
NP-00026,55,Male,Gandaki,Semi-Urban,Postpaid,76,215.2,44,13.93,24.56,7,103.0,2,-104,0.0501,8.25,2,27.1,0,0,0,0,0.561,0.099,10,0
NP-00027,19,Male,Sudurpashchim,Semi-Urban,Prepaid,1426,32.2,40,8.07,24.46,9,113.0,2,-57,0.0055,8.42,0,0.0,1,1,0,0,0.393,0.091,2,0
NP-00028,38,Female,Madhesh,Urban,Prepaid,788,339.2,43,17.86,26.16,1,489.0,5,-112,0.0551,2.57,0,0.0,1,0,0,0,0.156,-0.142,2,0
